user_id,age,subscription_plan,monthly_watch_time_mins,country,favorite_genre,last_login_date,customer_support_tickets,dias_desde_login
11451,45,Básico,632.7,Colombia,Documental,,0,
11587,39,Básico,534.0,Brasil,Comedia,,0,
12932,34,Básico,192.8,Chile,Romance,,0,
13034,13,Básico,123.9,Brasil,Romance,,0,
15230,26,Básico,895.7,Uruguay,Romance,,0,
15575,27,Premium,746.0,Argentina,Comedia,,0,
15710,38,Básico,1080.4,México,Drama,,0,
15767,14,Básico,853.5,Uruguay,Drama,,0,
16212,30,Estándar,710.8,Uruguay,Crimen,,1,
16622,20,Premium,941.2,México,Romance,,1,
16650,28,Básico,221.5,Chile,Romance,,1,
17409,39,Estándar,411.0,Colombia,Crimen,,3,
17669,39,Estándar,1345.6,Uruguay,Comedia,,0,
11286,29,Básico,526.0,Argentina,Romance,2024-05-31,1,757.0
10253,25,Básico,174.2,Chile,Documental,,0,
11568,39,Estándar,755.7,Perú,Romance,,1,
11606,28,Estándar,1208.8,Uruguay,Crimen,,0,
11811,33,Premium,1127.2,Brasil,Thriller,,2,
11814,44,Básico,138.8,Brasil,Crimen,,1,
11919,35,Estándar,850.6,Chile,Thriller,,2,
12483,33,Estándar,708.5,Colombia,Crimen,,3,
12891,41,Estándar,707.4,Perú,Crimen,,0,
13244,31,Básico,407.5,Argentina,Crimen,,0,
13646,26,Estándar,483.6,México,Acción,,0,
14045,55,Estándar,1096.8,México,Drama,,1,
15335,35,Básico,359.8,Perú,Crimen,,1,
16816,34,Estándar,155.3,Argentina,Crimen,,1,
13625,36,Estándar,1203.2,Argentina,Comedia,2023-12-30,1,910.0
10570,36,Estándar,1005.3,Chile,Acción,2025-07-30,0,332.0
16327,39,Premium,1170.8,México,Documental,2021-06-30,2,1823.0
16191,38,Básico,462.1,México,Romance,2019-09-29,1,2463.0
12493,42,Básico,868.5,Colombia,Comedia,2019-08-29,2,2494.0
14338,21,Estándar,364.1,Colombia,Romance,2025-05-29,0,394.0
14144,38,Premium,731.4,Colombia,Documental,2018-08-28,1,2860.0
15381,44,Premium,1405.2,Colombia,Drama,2022-07-28,0,1430.0
12828,30,Estándar,797.5,Chile,Comedia,2025-05-28,1,395.0
13194,44,Básico,742.6,Perú,Comedia,2019-02-28,0,2676.0
16747,23,Estándar,570.7,Colombia,Documental,2024-12-27,0,547.0
16219,35,Básico,3092.2,Perú,Comedia,2019-12-27,0,2374.0
11074,16,Básico,415.1,Uruguay,Romance,2018-12-27,2,2739.0
17590,36,Básico,514.7,Argentina,Documental,2021-03-27,0,1918.0
17342,44,Básico,610.5,Uruguay,Romance,2019-02-27,2,2677.0
12009,35,Premium,1275.3,Colombia,Romance,2024-12-26,0,548.0
12954,38,Básico,589.8,Uruguay,Thriller,2023-12-26,1,914.0
14205,33,Premium,1259.9,Argentina,Acción,2025-11-26,0,213.0
17691,41,Básico,327.1,Uruguay,Romance,2024-06-26,1,731.0
14222,29,Premium,662.8,Argentina,Documental,2022-11-25,1,1310.0
17447,19,Básico,498.8,México,Comedia,2018-09-25,3,2832.0
15588,43,Estándar,1335.3,México,Thriller,2018-06-25,1,2924.0
13744,36,Estándar,1154.9,México,Acción,2025-03-25,4,459.0
11574,25,Básico,119.1,Argentina,Drama,2021-03-24,1,1921.0
17156,33,Básico,331.8,Uruguay,Thriller,2018-09-23,2,2834.0
14402,24,Básico,1108.0,Perú,Thriller,2022-08-23,0,1404.0
10690,35,Estándar,864.6,Argentina,Drama,2023-06-23,0,1100.0
16551,39,Básico,374.2,Brasil,Drama,2024-05-23,1,765.0
11697,39,Premium,1238.8,Colombia,Comedia,2022-11-22,1,1313.0
11649,33,Premium,1208.3,Perú,Drama,2024-10-22,1,613.0
16604,51,Premium,3811.2,Perú,Thriller,2023-10-22,1,979.0
11541,26,Estándar,745.5,Brasil,Romance,2022-06-22,2,1466.0
15174,60,Básico,453.7,México,Documental,2023-05-22,0,1132.0
